Alabama,AL,9,2265090
Alaska,AK,3,338177
Arizona,AZ,11,3390161
Arkansas,AR,6,1182676
California,CA,54,15865475
Colorado,CO,10,3192745
Connecticut,CT,7,1759010
Delaware,DE,3,511697
District of Columbia,DC,3,325869
Florida,FL,30,10893752
Georgia,GA,16,5250047
Hawaii,HI,4,516701
Idaho,ID,4,904812
Illinois,IL,19,5633310
Indiana,IN,11,2936677
Iowa,IA,6,1663506
Kansas,KS,6,1327591
Kentucky,KY,8,2074530
Louisiana,LA,8,2006975
Maine,ME,4,830794
Maryland,MD,10,3038334
Massachusetts,MA,11,3473668
Michigan,MI,15,5664186
Minnesota,MN,10,3253920
Mississippi,MS,6,1228008
Missouri,MO,10,2995327
Montana,MT,4,602963
Nebraska,NE,5,947159
Nevada,NV,6,1484840
New Hampshire,NH,4,826189
New Jersey,NJ,14,4272725
New Mexico,NM,5,923403
New York,NY,28,8262495
North Carolina,NC,16,5699141
North Dakota,ND,3,368155
Ohio,OH,17,5767788
Oklahoma,OK,7,1566173
Oregon,OR,8,2244493
Pennsylvania,PA,19,7034206
Rhode Island,RI,4,513386
South Carolina,SC,9,2548140
South Dakota,SD,3,428922
Tennessee,TN,11,3063942
Texas,TX,40,11388674
Utah,UT,6,1488494
Vermont,VT,3,369422
Virginia,VA,13,4505941
Washington,WA,12,3924243
West Virginia,WV,4,762390
Wisconsin,WI,10,3415787
Wyoming,WY,3,269048
