537,68832482,269,12084826
Alabama,AL,11,282240
Alaska,AK,3,30382
Arizona,AZ,4,199246
Arkansas,AR,8,214255
Colorado,CO,6,368124
Delaware,DE,3,98342
Georgia,GA,12,366675
Hawaii,HI,3,92353
Idaho,ID,4,150226
Iowa,IA,10,636906
Kansas,KS,8,464413
Kentucky,KY,10,562232
Louisiana,LA,10,403946
Maine,ME,5,210884
Maryland,MD,9,527675
Mississippi,MS,8,149086
Montana,MT,4,138790
Nebraska,NE,6,306548
Nevada,NV,3,53634
New Hampshire,NH,4,147881
New Mexico,NM,4,155554
North Carolina,NC,14,684279
North Dakota,ND,4,139216
Oklahoma,OK,8,451576
Oregon,OR,6,388211
Rhode Island,RI,4,202768
South Carolina,SC,8,193345
South Dakota,SD,4,153244
Tennessee,TN,11,525897
Texas,TX,24,1155543
Utah,UT,4,187355
Vermont,VT,3,83663
Virginia,VA,12,385725
Washington,WA,9,620787
West Virginia,WV,8,418891
Wisconsin,WI,12,864542
Wyoming,WY,3,70392
